condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,2,1,18,,1,,17,,0.192869524,0.414,0.045267177,0.048660814,,,2.760000055,,,2,,0.219874254,0.368,0.01634689,0.013352755,,,2.760000055
2,1,2,1,19,,1,,18,,0.190694294,0.322,0.013120537,0.015032447,,,2.20991588,,,2,,0.2155145,0.322,0.0308487,0.039670362,,,2.20991588
2,1,2,1,20,,1,,19,,0.191049615,0.414,0.008463775,0.014306032,,,2.032346468,,,2,,0.206315032,0.368,0.001358683,-0.00263577,,,2.032346468
2,1,2,1,21,,1,,20,,0.17637121,0.368,0.00812392,0.022464256,,,1.951614755,,,2,,0.195839556,0.322,-0.010293478,-0.007140314,,,1.951614755
2,1,2,1,22,,1,,21,,0.173576771,0.368,-0.015923726,0.006615684,,,1.860584891,,,2,,0.18200928,0.276,0.017376712,0.023266088,,,1.860584891
2,1,2,1,23,,1,,22,,0.179877323,0.414,0.027052786,0.035585388,,,1.757657567,,,2,,0.187619334,0.368,0.019471876,0.021361488,,,1.757657567
2,1,2,1,24,,1,,23,,0.182100883,0.368,0.008072956,0.010597434,,,1.951614755,,,2,,0.185600362,0.23,0.04538088,0.042955725,,,1.951614755
2,1,2,1,25,,1,,24,,0.178631953,0.414,0.012432436,0.010553885,,,2.255407769,,,2,,0.18776348,0.322,0.020419077,0.015625312,,,2.255407769
2,1,2,1,26,,1,,25,,0.235912699,0.552,0.052525438,0.073836961,,,2.238456656,,,2,,0.221530268,0.368,0.030107515,0.034822489,,,2.238456656
2,1,2,1,27,,1,,26,,0.199819714,0.46,0.049423264,0.054570944,,,2.316500856,,,2,,0.21438036,0.368,0.030488712,0.030302544,,,2.316500856
2,1,2,1,28,,1,,27,,0.187647329,0.276,-0.009016652,-0.00972974,,,2.316500856,,,2,,0.190783975,0.322,0.021509719,0.015609249,,,2.316500856
2,1,2,1,29,,1,,28,,0.191643766,0.322,0.032688938,0.030068036,,,2.215653447,,,2,,0.2046521,0.368,0.018520996,0.023727486,,,2.215653447
2,1,2,1,30,,1,,29,,0.206638434,0.276,0.025733194,0.017932643,,,2.407870477,,,2,,0.206677872,0.368,0.024977769,0.036986208,,,2.407870477
2,1,2,1,31,,1,,30,,0.168071361,0.276,0.020991465,0.017664424,,,2.407870477,,,2,,0.18960935,0.368,-0.002146742,-0.002968187,,,2.407870477
